course_name,skills,provider,duration_weeks
Tableau Fundamentals 1,Tableau,LinkedIn Learning,3
Power BI Fundamentals 2,Power BI,Pluralsight,12
Data Science Fundamentals 3,Data Science,Coursera,3
CI/CD Fundamentals 4,CI/CD,Coursera,9
Vue.js Fundamentals 5,Vue.js,edX,8
IoT Fundamentals 6,IoT,LinkedIn Learning,6
Machine Learning Fundamentals 7,Machine Learning,Skillshare,12
Blockchain Fundamentals 8,Blockchain,LinkedIn Learning,6
Java Fundamentals 9,Java,edX,10
C++ Fundamentals 10,C++,edX,12
OpenCV Fundamentals 11,OpenCV,Udemy,12
AR Fundamentals 12,AR,LinkedIn Learning,10
PyTorch Fundamentals 13,PyTorch,LinkedIn Learning,11
TensorFlow Fundamentals 14,TensorFlow,Skillshare,9
Angular Fundamentals 15,Angular,Coursera,5
Django Fundamentals 16,Django,edX,5
DevOps Fundamentals 17,DevOps,Coursera,7
Data Science Fundamentals 18,Data Science,Skillshare,9
R Fundamentals 19,R,Pluralsight,2
Java Fundamentals 20,Java,LinkedIn Learning,10
Power BI Fundamentals 21,Power BI,Pluralsight,7
IoT Fundamentals 22,IoT,Pluralsight,3
Unity Fundamentals 23,Unity,Coursera,11
IoT Fundamentals 24,IoT,Coursera,2
Excel Fundamentals 25,Excel,LinkedIn Learning,9
Microservices Fundamentals 26,Microservices,edX,8
React Fundamentals 27,React,Coursera,9
Vue.js Fundamentals 28,Vue.js,Skillshare,10
Java Fundamentals 29,Java,Coursera,9
TypeScript Fundamentals 30,TypeScript,LinkedIn Learning,6
CI/CD Fundamentals 31,CI/CD,edX,9
Java Fundamentals 32,Java,edX,11
PyTorch Fundamentals 33,PyTorch,Coursera,8
DevOps Fundamentals 34,DevOps,edX,11
Machine Learning Fundamentals 35,Machine Learning,LinkedIn Learning,7
Python Fundamentals 36,Python,Udemy,5
Azure Fundamentals 37,Azure,LinkedIn Learning,3
Metaverse Fundamentals 38,Metaverse,Udemy,12
GCP Fundamentals 39,GCP,LinkedIn Learning,7
C# Fundamentals 40,C#,Udemy,2
Angular Fundamentals 41,Angular,Pluralsight,8
Azure Fundamentals 42,Azure,Coursera,2
Node.js Fundamentals 43,Node.js,Coursera,11
Unity Fundamentals 44,Unity,Udemy,4
Tableau Fundamentals 45,Tableau,Pluralsight,9
Node.js Fundamentals 46,Node.js,edX,4
DevOps Fundamentals 47,DevOps,Udemy,2
AR Fundamentals 48,AR,Skillshare,3
VR Fundamentals 49,VR,Coursera,11
Tableau Fundamentals 50,Tableau,LinkedIn Learning,2
OpenCV Fundamentals 51,OpenCV,Udemy,5
C# Fundamentals 52,C#,Pluralsight,6
Node.js Fundamentals 53,Node.js,LinkedIn Learning,7
Microservices Fundamentals 54,Microservices,Udemy,10
IoT Fundamentals 55,IoT,Pluralsight,8
AR Fundamentals 56,AR,Pluralsight,10
Python Fundamentals 57,Python,LinkedIn Learning,11
C++ Fundamentals 58,C++,Pluralsight,10
Deep Learning Fundamentals 59,Deep Learning,Skillshare,8
Spring Boot Fundamentals 60,Spring Boot,Pluralsight,10
TensorFlow Fundamentals 61,TensorFlow,edX,11
Machine Learning Fundamentals 62,Machine Learning,Skillshare,5
JavaScript Fundamentals 63,JavaScript,edX,7
TypeScript Fundamentals 64,TypeScript,edX,12
Spring Boot Fundamentals 65,Spring Boot,Pluralsight,3
Power BI Fundamentals 66,Power BI,Udemy,5
TypeScript Fundamentals 67,TypeScript,Coursera,4
NLP Fundamentals 68,NLP,Coursera,12
Java Fundamentals 69,Java,Udemy,8
Power BI Fundamentals 70,Power BI,LinkedIn Learning,2
IoT Fundamentals 71,IoT,edX,8
Spring Boot Fundamentals 72,Spring Boot,Udemy,4
