id,title,description,skills,demand_level,category,location,year
1,Prompt Engineer,Tune LLM prompts for advanced AI,"prompt engineering,llm,gen ai,nlp,python",emerging,GenAI,Europe,2025
2,IoT Developer,Develop and secure IoT systems,"iot,embedded systems,edge computing,python,c,aws iot",emerging,IoT,Remote,2025
3,AI/ML Engineer,Build models and deploy AI-powered systems,"python,tensorflow,pytorch,machine learning,deep learning",high,AI/ML,Remote,2025
4,Prompt Engineer,Tune LLM prompts for advanced AI,"prompt engineering,llm,gen ai,nlp,python",emerging,GenAI,USA,2025
5,Prompt Engineer,Tune LLM prompts for advanced AI,"prompt engineering,llm,gen ai,nlp,python",emerging,GenAI,USA,2025
6,Cloud Architect,Architect scalable cloud infrastructure,"aws,azure,gcp,devops,kubernetes,docker",high,Cloud,Europe,2025
7,Data Scientist,Analyze big data and deliver insights,"python,sql,pandas,data visualization,statistics",high,Data Science,Global,2025
8,Cloud Architect,Architect scalable cloud infrastructure,"aws,azure,gcp,devops,kubernetes,docker",high,Cloud,USA,2025
9,Cybersecurity Specialist,Secure systems and lead threat analysis,"cybersecurity,network security,penetration testing,firewall,siem",high,Cybersecurity,USA,2025
10,Cloud Architect,Architect scalable cloud infrastructure,"aws,azure,gcp,devops,kubernetes,docker",high,Cloud,Remote,2025
11,AI/ML Engineer,Build models and deploy AI-powered systems,"python,tensorflow,pytorch,machine learning,deep learning",high,AI/ML,Europe,2025
12,Prompt Engineer,Tune LLM prompts for advanced AI,"prompt engineering,llm,gen ai,nlp,python",emerging,GenAI,Global,2025
13,Data Scientist,Analyze big data and deliver insights,"python,sql,pandas,data visualization,statistics",high,Data Science,India,2025
14,Cybersecurity Specialist,Secure systems and lead threat analysis,"cybersecurity,network security,penetration testing,firewall,siem",high,Cybersecurity,Remote,2025
15,Data Scientist,Analyze big data and deliver insights,"python,sql,pandas,data visualization,statistics",high,Data Science,India,2025
16,Prompt Engineer,Tune LLM prompts for advanced AI,"prompt engineering,llm,gen ai,nlp,python",emerging,GenAI,Global,2025
17,Data Scientist,Analyze big data and deliver insights,"python,sql,pandas,data visualization,statistics",high,Data Science,Global,2025
18,Cloud Architect,Architect scalable cloud infrastructure,"aws,azure,gcp,devops,kubernetes,docker",high,Cloud,Global,2025
19,IoT Developer,Develop and secure IoT systems,"iot,embedded systems,edge computing,python,c,aws iot",emerging,IoT,Europe,2025
20,Data Scientist,Analyze big data and deliver insights,"python,sql,pandas,data visualization,statistics",high,Data Science,USA,2025
21,Prompt Engineer,Tune LLM prompts for advanced AI,"prompt engineering,llm,gen ai,nlp,python",emerging,GenAI,Europe,2025
22,Data Scientist,Analyze big data and deliver insights,"python,sql,pandas,data visualization,statistics",high,Data Science,USA,2025
23,IoT Developer,Develop and secure IoT systems,"iot,embedded systems,edge computing,python,c,aws iot",emerging,IoT,India,2025
24,Cloud Architect,Architect scalable cloud infrastructure,"aws,azure,gcp,devops,kubernetes,docker",high,Cloud,Europe,2025
25,Cloud Architect,Architect scalable cloud infrastructure,"aws,azure,gcp,devops,kubernetes,docker",high,Cloud,Remote,2025
26,IoT Developer,Develop and secure IoT systems,"iot,embedded systems,edge computing,python,c,aws iot",emerging,IoT,Remote,2025
27,Cloud Architect,Architect scalable cloud infrastructure,"aws,azure,gcp,devops,kubernetes,docker",high,Cloud,Global,2025
28,IoT Developer,Develop and secure IoT systems,"iot,embedded systems,edge computing,python,c,aws iot",emerging,IoT,USA,2025
29,IoT Developer,Develop and secure IoT systems,"iot,embedded systems,edge computing,python,c,aws iot",emerging,IoT,Remote,2025
30,IoT Developer,Develop and secure IoT systems,"iot,embedded systems,edge computing,python,c,aws iot",emerging,IoT,Europe,2025
31,Data Scientist,Analyze big data and deliver insights,"python,sql,pandas,data visualization,statistics",high,Data Science,Europe,2025
32,IoT Developer,Develop and secure IoT systems,"iot,embedded systems,edge computing,python,c,aws iot",emerging,IoT,Remote,2025
33,AI/ML Engineer,Build models and deploy AI-powered systems,"python,tensorflow,pytorch,machine learning,deep learning",high,AI/ML,India,2025
34,Cloud Architect,Architect scalable cloud infrastructure,"aws,azure,gcp,devops,kubernetes,docker",high,Cloud,USA,2025
