title,description,skills
Software Engineer,Develop software applications,"python, java, git"
Data Scientist,Analyze data for insights,"python, sql, machine learning"
Frontend Developer,Build user interfaces,"html, css, react"
Full Stack Developer,Handle both frontend and backend,"react, node.js, sql"
Mobile App Developer,Develop mobile apps,"android, ios, flutter"
Artificial Intelligence Engineer,Build AI models,"python, tensorflow, deep learning"
Blockchain Developer,Develop blockchain solutions,"solidity, ethereum"
VR/AR Developer,Create VR/AR experiences,"unity, c#"
Big Data Engineer,Manage big data pipelines,"hadoop, spark"
Data Analyst,Analyze business data,"sql, power bi"
Cyber Security Analyst,Protect systems from cyber threats,"wireshark, kali linux"
